store,item,date,forecast,lower_95,upper_95
1,1,2018-01-01,13,7.5,18.8
1,1,2018-01-02,15.6,9.2,21
1,1,2018-01-03,16.3,10.6,21.8
1,1,2018-01-04,16.9,11.3,22.6
1,1,2018-01-05,18.5,12.8,24
1,1,2018-01-06,20.4,15.1,26.6
1,1,2018-01-07,21.2,15.4,26.8
1,1,2018-01-08,12.9,7.4,19
1,1,2018-01-09,15.5,9.7,21
1,1,2018-01-10,16.1,10.1,22
1,1,2018-01-11,16.7,10.6,22.2
1,1,2018-01-12,18.1,12.8,23.8
1,1,2018-01-13,20,14.4,25.7
1,1,2018-01-14,20.8,15,26.9
1,1,2018-01-15,12.5,7,18.3
1,1,2018-01-16,15.1,9.7,20.8
1,1,2018-01-17,15.7,10.1,21.5
1,1,2018-01-18,16.4,10.6,22.2
1,1,2018-01-19,17.9,12,23.3
1,1,2018-01-20,19.9,14,25.4
1,1,2018-01-21,20.7,15.1,26.8
1,1,2018-01-22,12.5,6.9,18.6
1,1,2018-01-23,15.2,9.4,21.3
1,1,2018-01-24,15.9,10.2,21.6
1,1,2018-01-25,16.6,10.5,22.3
1,1,2018-01-26,18.3,12.7,23.9
1,1,2018-01-27,20.3,15,26.1
1,1,2018-01-28,21.2,15.4,27.1
1,1,2018-01-29,13.1,7.4,18.8
1,1,2018-01-30,15.8,10.1,21.6
1,1,2018-01-31,16.5,11.2,22.1
1,1,2018-02-01,17.2,11.8,22.9
1,1,2018-02-02,18.9,13.3,24.5
1,1,2018-02-03,20.9,15.4,26.7
1,1,2018-02-04,21.8,15.8,27.7
1,1,2018-02-05,13.6,7.4,19.2
1,1,2018-02-06,16.3,10.9,22.1
1,1,2018-02-07,16.9,11.2,22.6
1,1,2018-02-08,17.6,12,23.5
1,1,2018-02-09,19.2,13.4,25.1
1,1,2018-02-10,21.1,15.2,26.4
1,1,2018-02-11,21.9,16.2,27.5
1,1,2018-02-12,13.7,8,19.5
1,1,2018-02-13,16.3,10.5,21.5
1,1,2018-02-14,16.9,11.2,22.7
1,1,2018-02-15,17.5,11.8,23
1,1,2018-02-16,19.1,13.3,24.8
1,1,2018-02-17,21,15.4,26.6
1,1,2018-02-18,21.8,15.9,27.7
1,1,2018-02-19,13.6,7.9,19.1
1,1,2018-02-20,16.2,10.7,21.9
1,1,2018-02-21,16.8,11.2,23
1,1,2018-02-22,17.5,11.8,23.1
1,1,2018-02-23,19.1,13.7,24.6
1,1,2018-02-24,21.1,15.6,26.6
1,1,2018-02-25,22,16.7,27.8
1,1,2018-02-26,13.9,8.5,19.2
1,1,2018-02-27,16.6,11,22.4
1,1,2018-02-28,17.4,11.4,23.1
1,1,2018-03-01,18.2,12.7,23.8
1,1,2018-03-02,19.9,14.4,25.7
1,1,2018-03-03,22,16.3,28.3
1,1,2018-03-04,23,17.3,28.5
1,1,2018-03-05,15,9.6,20.6
1,1,2018-03-06,17.8,11.9,23.1
1,1,2018-03-07,18.6,12.8,24.1
1,1,2018-03-08,19.4,14.2,25.3
1,1,2018-03-09,21.2,15.2,27.3
1,1,2018-03-10,23.3,17.6,29.1
1,1,2018-03-11,24.4,18.6,30.1
1,1,2018-03-12,16.3,10.7,22.2
1,1,2018-03-13,19.1,13.7,25
1,1,2018-03-14,19.9,14,25.6
1,1,2018-03-15,20.7,15,26.1
1,1,2018-03-16,22.4,17.1,28.1
1,1,2018-03-17,24.5,19.1,30.1
1,1,2018-03-18,25.5,19.9,31.3
1,1,2018-03-19,17.4,11.6,23
1,1,2018-03-20,20.1,14.3,25.9
1,1,2018-03-21,20.8,14.9,26.8
1,1,2018-03-22,21.5,16,26.8
1,1,2018-03-23,23.2,17.2,28.8
1,1,2018-03-24,25.2,19.4,30.9
1,1,2018-03-25,26.1,20.8,31.5
1,1,2018-03-26,17.9,12.1,23.4
1,1,2018-03-27,20.6,15.1,26
1,1,2018-03-28,21.3,15.7,27.2
1,1,2018-03-29,22,16.7,27.9
1,1,2018-03-30,23.6,17.7,29.3
1,1,2018-03-31,25.6,19.5,31.1
1,2,2018-01-01,36.7,27,47.3
1,2,2018-01-02,43.6,34.5,53.5
1,2,2018-01-03,44.4,34.1,54.9
1,2,2018-01-04,47.2,37.5,57.3
1,2,2018-01-05,50.6,40.6,61
1,2,2018-01-06,54.3,44.6,64.7
1,2,2018-01-07,57.7,48.4,68.4
1,2,2018-01-08,36.5,26.1,46.5
1,2,2018-01-09,43.3,33.6,52.9
1,2,2018-01-10,44.1,33.7,54
1,2,2018-01-11,46.8,37.2,57.3
1,2,2018-01-12,50.2,40.7,60.1
1,2,2018-01-13,53.9,44.3,64.2
1,2,2018-01-14,57.3,47.3,67.3
1,2,2018-01-15,36.1,26.4,46.3
1,2,2018-01-16,42.9,33.3,53.6
1,2,2018-01-17,43.8,33.6,54
1,2,2018-01-18,46.6,36.3,56.4
1,2,2018-01-19,50,39.3,59.8
1,2,2018-01-20,53.8,43.6,63.7
1,2,2018-01-21,57.2,47.8,67.4
1,2,2018-01-22,36.1,26.3,46.1
1,2,2018-01-23,43,33.5,52.9
1,2,2018-01-24,44,33.8,53.7
1,2,2018-01-25,46.8,36.2,57.3
1,2,2018-01-26,50.3,39.4,60.2
1,2,2018-01-27,54.2,43.3,64.2
1,2,2018-01-28,57.7,47.8,68.1
1,2,2018-01-29,36.6,27.1,47.2
1,2,2018-01-30,43.6,33.3,53.2
1,2,2018-01-31,44.6,34.8,54.7
1,2,2018-02-01,47.5,37,57.3
1,2,2018-02-02,51,41,60.3
1,2,2018-02-03,55,45.6,64.2
