store,item,week,weekly_forecast,weekly_lower,weekly_upper
1,1,2017-12-31,101,66,135
1,1,2018-01-07,120,80,160
1,1,2018-01-14,118,78,158
1,1,2018-01-21,120,80,161
1,1,2018-01-28,124,85,164
1,1,2018-02-04,126,86,167
1,1,2018-02-11,126,86,166
1,1,2018-02-18,126,87,166
1,1,2018-02-25,130,91,170
1,1,2018-03-04,138,99,178
1,1,2018-03-11,147,108,187
1,1,2018-03-18,154,113,194
1,1,2018-03-25,157,118,196
1,2,2017-12-31,277,218,339
1,2,2018-01-07,332,264,403
1,2,2018-01-14,330,260,401
1,2,2018-01-21,332,260,402
1,2,2018-01-28,336,267,405
1,2,2018-02-04,343,273,411
1,2,2018-02-11,356,286,426
1,2,2018-02-18,372,302,442
1,2,2018-02-25,389,320,459
1,2,2018-03-04,401,332,472
1,2,2018-03-11,409,339,478
1,2,2018-03-18,417,348,486
1,2,2018-03-25,429,361,499
1,3,2017-12-31,166,120,212
1,3,2018-01-07,204,151,256
1,3,2018-01-14,204,151,258
1,3,2018-01-21,205,151,258
1,3,2018-01-28,209,156,264
1,3,2018-02-04,214,163,269
1,3,2018-02-11,220,168,274
1,3,2018-02-18,226,172,280
1,3,2018-02-25,231,176,284
1,3,2018-03-04,238,186,292
1,3,2018-03-11,249,195,302
1,3,2018-03-18,260,206,312
1,3,2018-03-25,268,214,322
1,4,2017-12-31,102,66,137
1,4,2018-01-07,121,80,161
1,4,2018-01-14,118,76,158
1,4,2018-01-21,118,78,158
1,4,2018-01-28,123,83,162
1,4,2018-02-04,128,87,169
1,4,2018-02-11,132,91,172
1,4,2018-02-18,133,92,173
1,4,2018-02-25,135,95,176
1,4,2018-03-04,140,99,182
1,4,2018-03-11,147,107,187
1,4,2018-03-18,153,111,194
1,4,2018-03-25,158,117,199
1,5,2017-12-31,84,53,115
1,5,2018-01-07,103,67,139
1,5,2018-01-14,104,67,140
1,5,2018-01-21,104,67,140
1,5,2018-01-28,105,69,141
1,5,2018-02-04,107,72,143
1,5,2018-02-11,111,76,146
1,5,2018-02-18,114,79,151
1,5,2018-02-25,118,81,153
1,5,2018-03-04,121,84,157
1,5,2018-03-11,126,90,162
1,5,2018-03-18,131,95,167
1,5,2018-03-25,136,99,172
1,6,2017-12-31,271,212,331
1,6,2018-01-07,326,257,395
1,6,2018-01-14,326,259,394
1,6,2018-01-21,328,259,397
1,6,2018-01-28,334,265,402
1,6,2018-02-04,342,272,411
1,6,2018-02-11,352,284,421
1,6,2018-02-18,369,300,437
1,6,2018-02-25,388,321,454
1,6,2018-03-04,404,334,472
1,6,2018-03-11,413,343,482
1,6,2018-03-18,419,351,486
1,6,2018-03-25,427,358,496
1,7,2017-12-31,258,198,318
1,7,2018-01-07,314,243,382
1,7,2018-01-14,318,250,389
1,7,2018-01-21,325,256,395
1,7,2018-01-28,331,263,399
1,7,2018-02-04,335,264,405
1,7,2018-02-11,341,270,410
1,7,2018-02-18,355,286,424
1,7,2018-02-25,373,304,440
1,7,2018-03-04,388,318,459
1,7,2018-03-11,398,329,467
1,7,2018-03-18,408,336,477
1,7,2018-03-25,422,351,490
1,8,2017-12-31,362,294,431
1,8,2018-01-07,436,358,517
1,8,2018-01-14,433,351,512
1,8,2018-01-21,434,354,515
1,8,2018-01-28,440,359,520
1,8,2018-02-04,451,371,532
1,8,2018-02-11,466,388,546
1,8,2018-02-18,483,403,562
1,8,2018-02-25,501,422,582
1,8,2018-03-04,519,440,601
1,8,2018-03-11,537,458,621
1,8,2018-03-18,554,473,634
1,8,2018-03-25,572,493,651
1,9,2017-12-31,221,167,277
1,9,2018-01-07,271,206,335
1,9,2018-01-14,278,217,343
1,9,2018-01-21,288,223,352
1,9,2018-01-28,295,232,358
1,9,2018-02-04,299,236,363
1,9,2018-02-11,303,238,367
1,9,2018-02-18,312,248,374
1,9,2018-02-25,327,264,392
1,9,2018-03-04,341,278,405
1,9,2018-03-11,350,286,413
1,9,2018-03-18,355,292,418
1,9,2018-03-25,362,298,428
1,10,2017-12-31,350,285,417
1,10,2018-01-07,426,346,506
1,10,2018-01-14,420,342,501
1,10,2018-01-21,415,333,493
1,10,2018-01-28,417,340,496
1,10,2018-02-04,428,349,506
1,10,2018-02-11,444,365,524
1,10,2018-02-18,461,381,540
1,10,2018-02-25,479,402,559
1,10,2018-03-04,495,417,575
1,10,2018-03-11,510,430,588
1,10,2018-03-18,524,446,603
1,10,2018-03-25,538,460,615
1,11,2017-12-31,326,264,390
1,11,2018-01-07,390,316,465
1,11,2018-01-14,390,315,465
1,11,2018-01-21,398,324,476
1,11,2018-01-28,407,332,482
1,11,2018-02-04,414,339,490
1,11,2018-02-11,420,346,496
1,11,2018-02-18,435,360,511
1,11,2018-02-25,458,383,531
1,11,2018-03-04,479,401,554
1,11,2018-03-11,491,416,567
1,11,2018-03-18,498,422,573
1,11,2018-03-25,508,434,584
1,12,2017-12-31,320,256,384
1,12,2018-01-07,386,310,459
1,12,2018-01-14,389,314,464
1,12,2018-01-21,396,320,470
1,12,2018-01-28,402,326,478
1,12,2018-02-04,407,333,482
1,12,2018-02-11,416,341,494
1,12,2018-02-18,431,356,509
1,12,2018-02-25,453,376,528
1,12,2018-03-04,474,397,548
1,12,2018-03-11,490,413,564
1,12,2018-03-18,502,427,578
1,12,2018-03-25,516,440,592
1,13,2017-12-31,381,310,454
1,13,2018-01-07,456,373,537
1,13,2018-01-14,457,373,540
1,13,2018-01-21,467,383,546
1,13,2018-01-28,481,399,563
1,13,2018-02-04,494,411,578
1,13,2018-02-11,505,422,586
1,13,2018-02-18,519,433,600
1,13,2018-02-25,538,455,620
1,13,2018-03-04,559,477,640
1,13,2018-03-11,578,494,661
1,13,2018-03-18,592,509,677
1,13,2018-03-25,604,522,688
1,14,2017-12-31,270,211,331
1,14,2018-01-07,319,249,388
1,14,2018-01-14,316,247,384
1,14,2018-01-21,324,254,393
1,14,2018-01-28,341,272,410
1,14,2018-02-04,358,289,427
1,14,2018-02-11,367,297,437
1,14,2018-02-18,372,301,440
1,14,2018-02-25,379,308,448
1,14,2018-03-04,391,320,458
1,14,2018-03-11,407,337,477
1,14,2018-03-18,420,350,491
1,14,2018-03-25,431,362,501
1,15,2017-12-31,416,338,488
1,15,2018-01-07,499,411,588
1,15,2018-01-14,495,407,582
1,15,2018-01-21,500,413,586
1,15,2018-01-28,513,424,602
1,15,2018-02-04,528,439,616
1,15,2018-02-11,542,455,626
1,15,2018-02-18,558,469,642
1,15,2018-02-25,574,487,661
1,15,2018-03-04,590,501,678
1,15,2018-03-11,604,517,693
1,15,2018-03-18,620,531,706
1,15,2018-03-25,644,556,734
1,16,2017-12-31,116,78,153
1,16,2018-01-07,136,92,181
1,16,2018-01-14,134,90,179
1,16,2018-01-21,138,94,183
1,16,2018-01-28,146,101,190
1,16,2018-02-04,153,108,196
1,16,2018-02-11,158,115,202
1,16,2018-02-18,161,117,204
1,16,2018-02-25,164,118,207
1,16,2018-03-04,167,123,212
1,16,2018-03-11,173,128,216
1,16,2018-03-18,181,137,226
1,16,2018-03-25,191,146,234
1,17,2017-12-31,150,107,192
1,17,2018-01-07,179,128,229
1,17,2018-01-14,178,128,229
1,17,2018-01-21,181,130,232
1,17,2018-01-28,185,134,237
1,17,2018-02-04,188,139,238
1,17,2018-02-11,191,142,242
1,17,2018-02-18,198,146,247
1,17,2018-02-25,206,157,258
1,17,2018-03-04,214,163,264
1,17,2018-03-11,220,170,268
1,17,2018-03-18,225,175,274
1,17,2018-03-25,234,185,284
1,18,2017-12-31,393,320,467
1,18,2018-01-07,472,389,557
1,18,2018-01-14,467,383,556
1,18,2018-01-21,470,384,555
1,18,2018-01-28,480,396,568
1,18,2018-02-04,492,407,576
1,18,2018-02-11,504,419,589
1,18,2018-02-18,517,432,603
1,18,2018-02-25,535,450,621
1,18,2018-03-04,554,469,638
1,18,2018-03-11,572,489,655
1,18,2018-03-18,589,504,674
1,18,2018-03-25,608,523,695
1,19,2017-12-31,190,139,240
1,19,2018-01-07,228,170,287
1,19,2018-01-14,228,170,287
1,19,2018-01-21,231,174,289
1,19,2018-01-28,236,180,295
1,19,2018-02-04,242,184,300
1,19,2018-02-11,248,190,304
1,19,2018-02-18,255,198,312
1,19,2018-02-25,262,205,320
1,19,2018-03-04,270,211,328
1,19,2018-03-11,277,218,335
1,19,2018-03-18,286,229,344
1,19,2018-03-25,298,240,356
1,20,2017-12-31,219,166,270
1,20,2018-01-07,261,202,321
1,20,2018-01-14,259,201,318
1,20,2018-01-21,261,201,320
1,20,2018-01-28,267,206,329
1,20,2018-02-04,276,218,338
1,20,2018-02-11,290,230,349
1,20,2018-02-18,304,244,364
1,20,2018-02-25,316,255,375
1,20,2018-03-04,324,267,385
1,20,2018-03-11,332,274,392
1,20,2018-03-18,343,283,402
1,20,2018-03-25,357,297,417
1,21,2017-12-31,185,136,232
1,21,2018-01-07,222,168,279
1,21,2018-01-14,220,164,276
1,21,2018-01-21,221,164,278
1,21,2018-01-28,226,171,280
1,21,2018-02-04,234,180,291
1,21,2018-02-11,243,187,298
1,21,2018-02-18,250,195,306
1,21,2018-02-25,257,202,312
1,21,2018-03-04,264,208,321
1,21,2018-03-11,273,217,327
1,21,2018-03-18,284,228,340
1,21,2018-03-25,296,239,351
1,22,2017-12-31,374,302,444
1,22,2018-01-07,449,364,532
1,22,2018-01-14,444,361,527
1,22,2018-01-21,450,366,536
1,22,2018-01-28,464,379,550
1,22,2018-02-04,478,394,561
1,22,2018-02-11,489,406,573
1,22,2018-02-18,501,418,583
1,22,2018-02-25,519,435,604
1,22,2018-03-04,538,453,623
1,22,2018-03-11,554,468,638
1,22,2018-03-18,565,480,647
1,22,2018-03-25,579,496,663
1,23,2017-12-31,140,98,183
1,23,2018-01-07,171,122,220
1,23,2018-01-14,170,120,218
1,23,2018-01-21,168,118,216
1,23,2018-01-28,170,121,220
1,23,2018-02-04,173,122,221
1,23,2018-02-11,175,126,224
1,23,2018-02-18,179,131,227
1,23,2018-02-25,188,138,236
1,23,2018-03-04,200,150,249
1,23,2018-03-11,211,163,259
1,23,2018-03-18,217,168,266
1,23,2018-03-25,218,168,266
1,24,2017-12-31,290,226,354
1,24,2018-01-07,359,281,433
1,24,2018-01-14,367,296,442
1,24,2018-01-21,372,297,445
1,24,2018-01-28,372,297,448
1,24,2018-02-04,374,298,449
1,24,2018-02-11,384,308,456
1,24,2018-02-18,402,328,478
1,24,2018-02-25,421,347,496
1,24,2018-03-04,436,361,508
1,24,2018-03-11,446,371,521
1,24,2018-03-18,457,382,532
1,24,2018-03-25,474,402,548
1,25,2017-12-31,366,298,435
1,25,2018-01-07,439,359,517
1,25,2018-01-14,438,357,516
1,25,2018-01-21,443,365,523
1,25,2018-01-28,451,373,530
1,25,2018-02-04,459,379,538
1,25,2018-02-11,472,393,551
1,25,2018-02-18,492,416,572
1,25,2018-02-25,519,440,599
1,25,2018-03-04,542,461,624
1,25,2018-03-11,555,475,637
1,25,2018-03-18,563,484,643
1,25,2018-03-25,574,493,651
1,26,2017-12-31,217,164,269
1,26,2018-01-07,262,201,323
1,26,2018-01-14,264,204,325
1,26,2018-01-21,272,210,333
